0_datetime,1_Pickup11,2_Fuel_eff,3_ME_tot_FL,4_Nav_02,5_Nav_03,6_Nav_04,7_Fuel_Index,8_MSB0-TOT-LOD,9_MS114,10_MW014,11_Trim_in_meters,12_LIST,13_ballast,14_ECDIS_COG,15_Uwind,16_Vwind,17_Gust,18_Significant_wave_height,19_Wave_direction,20_Wave_period,21_struja_smjer_deg,22_struja_brzina,23_sea,24_swell,25_wind,26_wind_deg_ecdis,27_Prop_slip
12/31/2016 14:27,31.70212766,166.1821705,124.0310078,0.522243714,178.7234043,4.236641221,22.21374046,1597.678917,27.27079304,15.95744681,-0.077220077,-0.100303951,ballast,333.2,-6.613541,-0.7858887,9.778484,1.262661,61.28676,5.518824,42.85623943,0.066160791,1,0,2,44.9,d
12/31/2016 14:33,43.29925394,177.3255814,282.9457364,0.522243714,178.7234043,4.236641221,34.87459106,1656.258635,27.57916552,15.95744681,-0.018753447,-0.09146173,ballast,333.2,-6.613541,-0.7858887,9.778484,1.262661,61.28676,5.518824,42.85623943,0.066160791,1,0,2,44.9,d
12/31/2016 14:38,47.6927328,175.9413068,459.0254707,0.522243714,178.7234043,4.236641221,40.82878953,1595.099936,27.62392926,15.95744681,0.016547159,-0.049903288,ballast,333.2,-6.613541,-0.7858887,9.778484,1.262661,61.28676,5.518824,42.85623943,0.066160791,1,0,2,44.9,d
12/31/2016 14:43,56.28626692,183.1395349,773.9018088,0.522243714,178.7234043,4.236641221,60.35986914,1570.599613,27.67117988,15.95744681,-0.051480051,-0.037524178,ballast,333.2,-6.613541,-0.7858887,9.778484,1.262661,61.28676,5.518824,42.85623943,0.066160791,1,0,2,44.9,d
12/31/2016 14:48,59.96131528,183.1395349,620.1550388,0.522243714,178.7234043,4.236641221,62.0610687,1547.388781,27.67117988,15.95744681,-0.11693326,-0.087040619,ballast,333.2,-6.613541,-0.7858887,9.778484,1.262661,61.28676,5.518824,42.85623943,0.066160791,1,0,2,44.9,d
12/31/2016 14:53,34.55374413,158.9147287,186.0465116,0.522243714,178.7234043,4.236641221,21.42857143,1582.205029,27.88007737,15.95744681,-0.1003861,-0.192263056,ballast,333.2,-6.613541,-0.7858887,9.778484,1.262661,61.28676,5.518824,42.85623943,0.066160791,1,0,2,44.9,d
12/31/2016 14:58,36.37745233,161.1295681,227.021041,0.522243714,178.7234043,4.236641221,25.61613959,1589.941973,27.91489362,15.78336557,-0.061776062,-0.237800497,ballast,333.2,-6.613541,-0.7858887,9.778484,1.262661,61.28676,5.518824,42.85623943,0.066160791,1,0,2,44.9,d
12/31/2016 15:03,42.30450401,172.3421927,275.7475083,0.522243714,178.7234043,4.236641221,33.86041439,1594.915723,27.93230174,15.78336557,-0.052509653,-0.203315833,ballast,333.2,-6.613541,-0.7858887,9.778484,1.262661,61.28676,5.518824,42.85623943,0.066160791,1,0,2,44.9,d
12/31/2016 15:09,30.28460901,178.4560724,85.27131783,0.522243714,178.7234043,4.236641221,19.46564886,1570.599613,27.93230174,15.78336557,-0.052509653,-0.12830432,ballast,333.2,-6.613541,-0.7858887,9.778484,1.262661,61.28676,5.518824,42.85623943,0.066160791,1,0,2,44.9,d
12/31/2016 15:14,31.52804642,203.003876,85.27131783,0.522243714,178.7234043,4.236641221,22.21374046,1570.599613,27.95219674,15.95744681,0.046332046,-0.037524178,ballast,333.2,-6.613541,-0.7858887,9.778484,1.262661,61.28676,5.518824,42.85623943,0.066160791,1,0,2,44.9,d
